label,team_school_ncaa,team_seed,opp_school_ncaa,opp_seed
,Purdue,3,Iona,16
,Texas Tech,3,North Carolina,1
,Texas Tech,3,Gonzaga,1
,Texas Tech,3,Duke,1
,Texas Tech,3,Virginia,1
,Texas Tech,3,Kentucky,2
,Texas Tech,3,Michigan St.,2
,Texas Tech,3,Tennessee,2
,Texas Tech,3,Michigan,2
,Texas Tech,3,Houston,3
,Texas Tech,3,LSU,3
,Texas Tech,3,Purdue,3
,Texas Tech,3,Virginia Tech,4
,Texas Tech,3,Kansas,4
,Texas Tech,3,Florida St.,4
,Texas Tech,3,Kansas St.,4
,Texas Tech,3,Auburn,5
,Texas Tech,3,Wisconsin,5
,Texas Tech,3,Mississippi St.,5
,Texas Tech,3,Marquette,5
,Texas Tech,3,Iowa St.,6
,Texas Tech,3,Buffalo,6
,Texas Tech,3,Villanova,6
,Texas Tech,3,Maryland,6
,Texas Tech,3,Wofford,7
,Texas Tech,3,Nevada,7
,Texas Tech,3,Cincinnati,7
,Texas Tech,3,Louisville,7
,Texas Tech,3,Ole Miss,8
,Texas Tech,3,Syracuse,8
,Texas Tech,3,Utah St.,8
,Texas Tech,3,VCU,8
,Texas Tech,3,Baylor,9
,Texas Tech,3,Oklahoma,9
,Texas Tech,3,UCF,9
,Texas Tech,3,Washington,9
,Texas Tech,3,Iowa,10
,Texas Tech,3,Seton Hall,10
,Texas Tech,3,Minnesota,10
,Texas Tech,3,Florida,10
,Texas Tech,3,Arizona St.,11
,Texas Tech,3,St. John's (NY),11
,Texas Tech,3,Ohio St.,11
,Texas Tech,3,Belmont,11
,Texas Tech,3,Saint Mary's (CA),11
,Texas Tech,3,Temple,11
,Texas Tech,3,Oregon,12
,Texas Tech,3,Murray St.,12
,Texas Tech,3,New Mexico St.,12
,Texas Tech,3,Liberty,12
,Texas Tech,3,Saint Louis,13
,Texas Tech,3,UC Irvine,13
,Texas Tech,3,Vermont,13
,Texas Tech,3,Northeastern,13
,Texas Tech,3,Northern Ky.,14
,Texas Tech,3,Georgia St.,14
,Texas Tech,3,Yale,14
,Texas Tech,3,Old Dominion,14
,Texas Tech,3,Abilene Christian,15
,Texas Tech,3,Colgate,15
,Texas Tech,3,Bradley,15
,Texas Tech,3,Montana,15
,Texas Tech,3,Fairleigh Dickinson,16
,Texas Tech,3,N.C. Central,16
,Texas Tech,3,Gardner-Webb,16
,Texas Tech,3,Prairie View,16
,Texas Tech,3,North Dakota St.,16
,Texas Tech,3,Iona,16
,Virginia Tech,4,North Carolina,1
,Virginia Tech,4,Gonzaga,1
,Virginia Tech,4,Duke,1
,Virginia Tech,4,Virginia,1
,Virginia Tech,4,Kentucky,2
,Virginia Tech,4,Michigan St.,2
,Virginia Tech,4,Tennessee,2
,Virginia Tech,4,Michigan,2
,Virginia Tech,4,Houston,3
,Virginia Tech,4,LSU,3
,Virginia Tech,4,Purdue,3
,Virginia Tech,4,Texas Tech,3
,Virginia Tech,4,Kansas,4
,Virginia Tech,4,Florida St.,4
,Virginia Tech,4,Kansas St.,4
,Virginia Tech,4,Auburn,5
,Virginia Tech,4,Wisconsin,5
,Virginia Tech,4,Mississippi St.,5
,Virginia Tech,4,Marquette,5
,Virginia Tech,4,Iowa St.,6
,Virginia Tech,4,Buffalo,6
,Virginia Tech,4,Villanova,6
,Virginia Tech,4,Maryland,6
,Virginia Tech,4,Wofford,7
,Virginia Tech,4,Nevada,7
,Virginia Tech,4,Cincinnati,7
